Team Blue,Team Red,FinalScoreBlue,FInalScoreRed,BP1,BP2,BP3,BP4,BP5,RP1,RP2,RP3,RP4,RP5,BP1_HI,BP2_HI,BP3_HI,BP4_HI,BP5_HI,RP1_HI,RP2_HI,RP3_HI,RP4_HI,RP5_HI,BP1_BI1,BP1_BI2,BP1_BI3,BP2_BI1,BP2_BI2,BP2_BI3,BP3_BI1,BP3_BI2,BP3_BI3,BP4_BI1,BP4_BI2,BP4_BI3,BP5_BI1,BP5_BI2,BP5_BI3,RP1_BI1,RP1_BI2,RP1_BI3,RP2_BI1,RP2_BI2,RP2_BI3,RP3_BI1,RP3_BI2,RP3_BI3,RP4_BI1,RP4_BI2,RP4_BI3,RP5_BI1,RP5_BI2,RP5_BI3,DRED1,DRED2,DRED3,ROTOM1,ROTOM2,ROTOM3,ZAPDOS
Z Crystal,No Show,543,288,Duraludon,Wigglytuff,Tsareena,Talonflame,Hoopa,Talonflame,Lucario,Slowbro,Duraludon,Alolan_Ninetales,Eject Button,Eject Button,Eject Button,X Attack,X Speed,X Attack,Full Heal,Eject Button,Full Heal,Eject Button,Muscle Band,Buddy Barrier,Focus Band,Focus Band,Buddy Barrier,Score Shield,Focus Band,Attack Weight,Muscle Band,Buddy Barrier,Attack Weight,Razor Claw,Buddy Barrier,Focus Band,Muscle Band,Buddy Barrier,Attack Weight,Razor Claw,Attack Weight,Buddy Barrier,Razor Claw,Buddy Barrier,Focus Band,Choice Specs,Muscle Band,Buddy Barrier,Focus Band,Muscle Band,Focus Band,Buddy Barrier,Red,Red,None,Blue,Red,None,Blue
Z Crystal,No Show,362,286,Duraludon,Talonflame,Hoopa,Wigglytuff,Tsareena,Talonflame,Duraludon,Lucario,Slowbro,Alolan_Ninetales,Eject Button,X Attack,X Speed,Eject Button,Eject Button,X Attack,Full Heal,Full Heal,Eject Button,Eject Button,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Attack Weight,Razor Claw,Buddy Barrier,Focus Band,Muscle Band,Focus Band,Buddy Barrier,Score Shield,Focus Band,Attack Weight,Muscle Band,Buddy Barrier,Attack Weight,Razor Claw,Muscle Band,Buddy Barrier,Focus Band,Attack Weight,Buddy Barrier,Score Shield,Buddy Barrier,Focus Band,Choice Specs,Muscle Band,Focus Band,Buddy Barrier,Red,Blue,Blue,Blue,Blue,None,Red
Persona,NewMeta,388,567,Duraludon,Blissey,Slowbro,Talonflame,Lucario,Blastoise,Duraludon,Venusaur,Hoopa,Lucario,X Speed,Eject Button,Eject Button,X Attack,Full Heal,Eject Button,Full Heal,Full Heal,Slow Smoke,Full Heal,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Focus Band,Score Shield,Buddy Barrier,Focus Band,Score Shield,Attack Weight,Buddy Barrier,Score Shield,Attack Weight,Buddy Barrier,Score Shield,Energy Amplifier,Focus Band,Buddy Barrier,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Muscle Band,Focus Band,Buddy Barrier,Energy Amplifier,Exp. Share,Attack Weight,Muscle Band,Buddy Barrier,Blue,Blue,Blue,Blue,Blue,None,Red
Persona,NewMeta,188,576,Duraludon,Slowbro,Talonflame,Blissey,Lucario,Duraludon,Lucario,Blastoise,Hoopa,Venusaur,X Speed,Eject Button,X Attack,Eject Button,Full Heal,Full Heal,Full Heal,Eject Button,Slow Smoke,Full Heal,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Focus Band,Score Shield,Attack Weight,Buddy Barrier,Score Shield,Buddy Barrier,Focus Band,Score Shield,Attack Weight,Buddy Barrier,Muscle Band,Muscle Band,Buddy Barrier,Focus Band,Attack Weight,Muscle Band,Buddy Barrier,Energy Amplifier,Focus Band,Buddy Barrier,Buddy Barrier,Energy Amplifier,Exp. Share,Buddy Barrier,Muscle Band,Focus Band,Red,Red,Blue,Blue,Blue,None,Red
No Show,NewMeta,494,37,Talonflame,Duraludon,Slowbro,Lucario,Alolan_Ninetales,Blastoise,Hoopa,Venusaur,Duraludon,Lucario,X Attack,Full Heal,Eject Button,Full Heal,Eject Button,Eject Button,Slow Smoke,Full Heal,Full Heal,Full Heal,Buddy Barrier,Attack Weight,Razor Claw,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Focus Band,Energy Amplifier,Attack Weight,Buddy Barrier,Muscle Band,Muscle Band,Focus Band,Buddy Barrier,Energy Amplifier,Focus Band,Buddy Barrier,Buddy Barrier,Energy Amplifier,Exp. Share,Buddy Barrier,Muscle Band,Focus Band,Muscle Band,Buddy Barrier,Focus Band,Attack Weight,Muscle Band,Buddy Barrier,Blue,Red,Blue,Red,Blue,None,Blue
No Show,NewMeta,897,506,Talonflame,Slowbro,Duraludon,Lucario,Alolan_Ninetales,Lucario,Hoopa,Blastoise,Venusaur,Alolan_Ninetales,X Attack,Eject Button,Full Heal,Full Heal,Eject Button,Full Heal,Slow Smoke,Eject Button,Full Heal,Full Heal,Buddy Barrier,Attack Weight,Razor Claw,Buddy Barrier,Focus Band,Choice Specs,Muscle Band,Buddy Barrier,Focus Band,Attack Weight,Buddy Barrier,Muscle Band,Muscle Band,Focus Band,Buddy Barrier,Attack Weight,Muscle Band,Buddy Barrier,Buddy Barrier,Energy Amplifier,Exp. Share,Energy Amplifier,Focus Band,Buddy Barrier,Buddy Barrier,Muscle Band,Focus Band,Muscle Band,Buddy Barrier,Focus Band,Blue,Blue,Blue,Blue,Blue,None,Red
Z Crystal,No Show,424,185,Duraludon,Talonflame,Hoopa,Tsareena,Wigglytuff,Talonflame,Duraludon,Slowbro,Machamp,Alolan_Ninetales,Eject Button,X Attack,X Speed,Eject Button,Eject Button,X Attack,Full Heal,Eject Button,X Speed,Eject Button,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Attack Weight,Razor Claw,Buddy Barrier,Focus Band,Muscle Band,Focus Band,Attack Weight,Muscle Band,Focus Band,Buddy Barrier,Score Shield,Buddy Barrier,Attack Weight,Razor Claw,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Focus Band,Choice Specs,Attack Weight,Aeos Cookie,Buddy Barrier,Muscle Band,Focus Band,Buddy Barrier,Blue,Blue,None,Blue,Blue,None,Blue
Z Crystal,No Show,175,470,Duraludon,Talonflame,Hoopa,Tsareena,Wigglytuff,Talonflame,Slowbro,Machamp,Duraludon,Alolan_Ninetales,Eject Button,X Attack,X Speed,Eject Button,Eject Button,X Attack,Eject Button,Full Heal,Full Heal,Eject Button,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Attack Weight,Razor Claw,Buddy Barrier,Focus Band,Muscle Band,Focus Band,Attack Weight,Muscle Band,Focus Band,Buddy Barrier,Score Shield,Buddy Barrier,Attack Weight,Razor Claw,Buddy Barrier,Focus Band,Exp. Share,Attack Weight,Buddy Barrier,Muscle Band,Muscle Band,Buddy Barrier,Focus Band,Muscle Band,Focus Band,Buddy Barrier,Blue,Red,Red,Red,Blue,None,Red
Z Crystal,No Show,178,476,Duraludon,Talonflame,Hoopa,Tsareena,Wigglytuff,Talonflame,Slowbro,Lucario,Duraludon,Alolan_Ninetales,Eject Button,X Attack,X Speed,Eject Button,Eject Button,X Attack,Eject Button,Full Heal,Full Heal,Eject Button,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Attack Weight,Razor Claw,Buddy Barrier,Focus Band,Muscle Band,Focus Band,Attack Weight,Muscle Band,Focus Band,Buddy Barrier,Score Shield,Buddy Barrier,Attack Weight,Razor Claw,Buddy Barrier,Focus Band,Exp. Share,Attack Weight,Buddy Barrier,Muscle Band,Muscle Band,Buddy Barrier,Focus Band,Muscle Band,Focus Band,Buddy Barrier,Blue,Blue,None,Red,Blue,None,Red
Z Crystal,No Show,657,240,Duraludon,Talonflame,Hoopa,Tsareena,Wigglytuff,Talonflame,Lucario,Slowbro,Duraludon,Alolan_Ninetales,Eject Button,X Attack,X Speed,Eject Button,Eject Button,X Attack,Full Heal,Eject Button,Full Heal,Eject Button,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Attack Weight,Razor Claw,Buddy Barrier,Focus Band,Muscle Band,Focus Band,Attack Weight,Muscle Band,Focus Band,Buddy Barrier,Score Shield,Buddy Barrier,Attack Weight,Razor Claw,Attack Weight,Buddy Barrier,Muscle Band,Buddy Barrier,Focus Band,Choice Specs,Muscle Band,Buddy Barrier,Focus Band,Muscle Band,Focus Band,Buddy Barrier,Blue,Red,Blue,Blue,Blue,None,Red
Z Crystal,No Show,99,626,Duraludon,Talonflame,Hoopa,Wigglytuff,Tsareena,Talonflame,Duraludon,Slowbro,Lucario,Alolan_Ninetales,Eject Button,X Attack,X Speed,Eject Button,Eject Button,X Attack,Full Heal,Eject Button,Full Heal,Eject Button,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Attack Weight,Razor Claw,Buddy Barrier,Focus Band,Muscle Band,Focus Band,Buddy Barrier,Score Shield,Focus Band,Attack Weight,Muscle Band,Buddy Barrier,Attack Weight,Razor Claw,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Focus Band,Exp. Share,Attack Weight,Buddy Barrier,Score Shield,Muscle Band,Focus Band,Buddy Barrier,Red,Red,Red,Red,Blue,None,Red
Z Crystal,No Show,523,344,Duraludon,Talonflame,Hoopa,Tsareena,Wigglytuff,Talonflame,Lucario,Slowbro,Duraludon,Alolan_Ninetales,Eject Button,X Attack,X Speed,Eject Button,Eject Button,X Attack,Full Heal,Eject Button,Full Heal,Eject Button,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Attack Weight,Razor Claw,Buddy Barrier,Focus Band,Muscle Band,Focus Band,Attack Weight,Muscle Band,Focus Band,Buddy Barrier,Score Shield,Buddy Barrier,Attack Weight,Razor Claw,Attack Weight,Buddy Barrier,Score Shield,Buddy Barrier,Focus Band,Choice Specs,Muscle Band,Buddy Barrier,Focus Band,Muscle Band,Focus Band,Buddy Barrier,Red,Red,Red,Blue,Blue,Blue,Blue
